discount	name	weight_volume_price	price	old_price	image_link
0	Бананы	1 кг / 59.49 руб	29.75	Отсутствует	https://photos.5-delivery.ru/big/product/1157089-main
0	Лук репчатый	1 кг / 24.19 руб	12.1	Отсутствует	https://photos.5-delivery.ru/big/product/1157058-main
0	Картофель	1 кг / 20.99 руб	41.98	Отсутствует	https://photos.5-delivery.ru/big/product/1196371-main
0	Сахар белый песок 1кг	1 шт / 51.49 руб	51.49	Отсутствует	https://photos.5-delivery.ru/big/product/1164240-main
0	Яйцо куриное Красная Цена СО 10шт.	1 шт / 61.99 руб	61.99	Отсутствует	https://photos.5-delivery.ru/big/product/1195036-main
0	Томаты	1 кг / 78.99 руб	39.49	Отсутствует	https://photos.5-delivery.ru/big/product/1157060-main
0	Картофель фасованный 2-2.5кг	1 кг / 18.99 руб	47.47	Отсутствует	https://photos.5-delivery.ru/big/product/1157911-main
0	Капуста белокочанная	1 кг / 16.99 руб	47.57	Отсутствует	https://photos.5-delivery.ru/big/product/1157059-main
0	Виноград Киш-миш	1 кг / 115.99 руб	57.99	Отсутствует	https://photos.5-delivery.ru/big/product/1159008-main
0	Лимоны	1 кг / 118.99 руб	23.8	Отсутствует	https://photos.5-delivery.ru/big/product/1165274-main
0	Яйцо куриное Красная Цена С1 10шт.	1 шт / 51.99 руб	51.99	Отсутствует	https://photos.5-delivery.ru/big/product/1195037-main
0	Огурцы среднеплодные гладкие	1 кг / 52.99 руб	26.5	Отсутствует	https://photos.5-delivery.ru/big/product/1162493-main
13.05	Яблоко сезонное	1 кг / 54.99 руб	27.5	31.62	https://photos.5-delivery.ru/big/product/1157088-main
16.67	Огурцы колючие среднеплодные	1 кг / 99.99 руб	49.99	59.995	https://photos.5-delivery.ru/big/product/1158948-main
16.67	Мандарины	1 кг / 99.99 руб	30.0	35.997	https://photos.5-delivery.ru/big/product/1158272-main
0	Яйцо куриное Селяночка C1 10шт.	1 шт / 72.99 руб	72.99	Отсутствует	https://photos.5-delivery.ru/big/product/1164508-main
0	Тушка цыпленка охлажденная	1 кг / 134.49 руб	268.98	Отсутствует	https://photos.5-delivery.ru/big/product/1162745-main
0	Свекла	1 кг / 13.99 руб	7.0	Отсутствует	https://photos.5-delivery.ru/big/product/1159192-main
0	Сметана Простоквашино 15% 300г	1 шт / 74.99 руб	74.99	Отсутствует	https://photos.5-delivery.ru/big/product/1211925-main
